what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1398025766740
java.version,sysinfo,,,"1.6.0_23",1398025766740
java.vm.info,sysinfo,,,"mixed mode",1398025766740
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1398025766740
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398025766740
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1398025766740
java.vm.specification.version,sysinfo,,,"1.0",1398025766740
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1398025766740
java.vm.version,sysinfo,,,"19.0-b09",1398025766740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398025978422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398026016417
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1398027066319
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1398027066603
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1398027066608
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1398027066728
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1398027066887
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1398027066891
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1398027066892
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1398027066905
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1398027066905
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1398027066906
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1398027066906
